sampleNumber,etfCode,name,grade,readinessScore,selectionPhase,selectionReasons,issuer,benchmarkName,rawTypeText,topHoldings,currentTagIds,currentTagLabels,lowConfidenceTagIds,missingFields,decision,correctedTagIds,reviewNote,reviewer,reviewedAt
109,498410,KODEX 금융고배당TOP10타겟위클리커버드콜,B,57,ready_core,준비도 B등급(57점),,코스피 200 금융 고배당 TOP 10 타겟 15%분배 위클리 커버드콜 지수,,KB금융 21.77%|하나금융지주 14.49%|우리금융지주 11.65%|기업은행 9.48%|삼성화재 9.42%|KODEX 금융고배당TOP10 7.58%|DB손해보험 5.78%|한국금융지주 5.74%|NH투자증권 5.58%|삼성증권 3.81%,dividend.covered_call|sector.financials|dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index,커버드콜 배당|금융|한국 고배당|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
110,140710,KODEX 운송,C,53,tag_gap,태그 공백 보완: 운송/물류,,KRX 운송,,현대글로비스 25.79%|대한항공 21.71%|HMM 15.41%|팬오션 11.2%|CJ대한통운 7.67%|아시아나항공 5.03%|롯데렌탈 4.25%|대한해운 3.02%|한진 1.38%|세방 1.15%,asset.equity|region.domestic_kr|strategy.passive_index|sector.transportation_logistics,주식|국내|지수추종(패시브)|운송/물류,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
111,0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),C,50,tag_gap,"태그 공백 보완: 월배당, 국채, 채권",미래에셋자산운용(주),KEDI 엔비디아미국채30년타겟커버드콜혼합지수(TR),해외혼합형,,dividend.covered_call|dividend.monthly|asset.bond.government|asset.bond|region.us|strategy.passive_index,커버드콜 배당|월배당|국채|채권|미국|지수추종(패시브),,표준 KRX 코드|상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력,,,,,
112,117680,KODEX 철강,C,53,tag_gap,태그 공백 보완: 철강/금속,,KRX 철강,,POSCO홀딩스 23.32%|현대제철 20.08%|고려아연 18.65%|풍산 9.41%|세아베스틸지주 3.29%|에이치브이엠 3.14%|삼아알미늄 2.93%|동국제강 2.62%|풍산홀딩스 2.1%|포스코엠텍 2.04%,asset.equity|region.domestic_kr|strategy.passive_index|sector.steel_metals,주식|국내|지수추종(패시브)|철강/금속,sector.steel_metals,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
113,117700,KODEX 건설,C,53,tag_gap,태그 공백 보완: 건설,,KRX 건설,,삼성E&A 22.33%|현대건설 19.85%|대우건설 12.88%|GS건설 7.71%|한전기술 7.45%|DL이앤씨 7.23%|현대무벡스 4.85%|IPARK현대산업개발 2.5%|HDC 2.11%|성광벤드 1.78%,asset.equity|region.domestic_kr|strategy.passive_index|sector.construction,주식|국내|지수추종(패시브)|건설,sector.construction,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
114,211560,TIGER 배당성장,C,53,tag_gap,태그 공백 보완: 배당성장,,코스피 배당성장 50,,삼성카드 4.98%|DB손해보험 4.68%|JB금융지주 4.18%|BNK금융지주 3.95%|오리온홀딩스 3.71%|하나금융지주 3.4%|NH투자증권 3.35%|기아 3.33%|iM금융지주 3.25%|다우기술 3.24%,dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index|dividend.dividend_growth,한국 고배당|주식|국내|지수추종(패시브)|배당성장,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
115,226380,ACE Fn성장소비주도주,C,53,tag_gap,"태그 공백 보완: 화장품/뷰티, 필수소비재/식품",,FnGuide 성장소비주도 지수,,한국콜마 2.65%|아모레퍼시픽 2.29%|코스맥스 2.23%|시프트업 2.21%|롯데웰푸드 2.14%|동원산업 2.13%|데브시스터즈 2.11%|오리온홀딩스 2.1%|LG생활건강 2.1%|아모레퍼시픽홀딩스 2.07%,asset.equity|region.domestic_kr|strategy.passive_index|sector.beauty_cosmetics|sector.consumer_staples_food,주식|국내|지수추종(패시브)|화장품/뷰티|필수소비재/식품,sector.beauty_cosmetics|sector.consumer_staples_food,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
116,138540,TIGER 현대차그룹플러스,C,53,tag_gap,"태그 공백 보완: 경기소비재, 그룹주(계열사 집중)",,MKF 현대차그룹+ FW,,기아 27.26%|현대차 22.05%|현대모비스 15.06%|현대제철 8.89%|현대글로비스 6.9%|현대건설 4.04%|HD한국조선해양 3.62%|HD현대 2.4%|현대로템 1.87%|현대위아 1.75%,sector.consumer_discretionary|asset.equity|region.domestic_kr|strategy.passive_index|strategy.large_conglomerate_group,경기소비재|주식|국내|지수추종(패시브)|그룹주(계열사 집중),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
117,174350,TIGER 로우볼,C,53,tag_gap,태그 공백 보완: 저변동성(로우볼),,FnGuide Low Vol 지수,,제일기획 3.46%|오뚜기 3.43%|KT&G 3.06%|LG유플러스 3.01%|삼성카드 2.96%|오리온홀딩스 2.86%|기업은행 2.85%|GS리테일 2.83%|코리안리 2.71%|하이트진로 2.7%,asset.equity|region.domestic_kr|strategy.passive_index|strategy.low_volatility,주식|국내|지수추종(패시브)|저변동성(로우볼),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
118,433500,ACE 원자력TOP10,C,53,tag_gap,태그 공백 보완: 원전/원자력,,DeepSearch 원자력 TOP 10지수,,두산에너빌리티 25.2%|현대건설 20.66%|두산 11.54%|대우건설 10.32%|한전기술 7.86%|비에이치아이 7.49%|우리기술 6.96%|한전KPS 4.49%|삼성물산 2.29%|한국전력 2.29%,asset.equity|region.domestic_kr|strategy.passive_index|sector.nuclear_power,주식|국내|지수추종(패시브)|원전/원자력,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
119,157490,TIGER 소프트웨어,C,53,tag_gap,태그 공백 보완: IT,,FnGuide 소프트웨어 지수,,NAVER 24.7%|카카오 19.78%|삼성에스디에스 12.74%|크래프톤 11.43%|NC 7.44%|LG씨엔에스 5.82%|현대오토에버 4.7%|펄어비스 2.31%|넷마블 2.05%|포스코DX 1.66%,sector.it|sector.game_entertainment_media|asset.equity|region.domestic_kr|strategy.passive_index,IT|게임/엔터/미디어|주식|국내|지수추종(패시브),sector.game_entertainment_media,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
120,0000Y0,HK 26-12 회사채(AA-이상)액티브,C,50,tag_gap,"태그 공백 보완: 만기매칭, 회사채",흥국자산운용(주),KAP 26-12 크레딧 채권 총수익지수(AA-이상),"국내채권형, 일반",,strategy.active|asset.bond.target_maturity|asset.bond|asset.bond.corporate|region.domestic_kr,액티브|만기매칭|채권|회사채|국내,,표준 KRX 코드|상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력,,,,,
121,329200,TIGER 리츠부동산인프라,C,53,tag_gap,태그 공백 보완: 리츠/부동산,,FnGuide 리츠부동산인프라,,SK리츠 15.85%|맥쿼리인프라 15.5%|KB발해인프라 12.02%|롯데리츠 9.34%|한화리츠 7.78%|ESR켄달스퀘어리츠 7.36%|신한알파리츠 5.85%|맵스리얼티 5.17%|삼성FN리츠 4.57%|코람코더원리츠 3.77%,asset.reit|region.domestic_kr|strategy.passive_index,리츠/부동산|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
122,133690,TIGER 미국나스닥100,C,51,tag_gap,태그 공백 보완: 나스닥100,미래에셋자산운용(주),NASDAQ 100,"해외주식형, 시장대표",,strategy.benchmark.nasdaq100|region.us|asset.equity|strategy.passive_index,나스닥100|미국|주식|지수추종(패시브),,상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력,,,,,
123,150460,TIGER 중국소비테마,C,53,tag_gap,태그 공백 보완: 중국,,FnGuide 중국내수테마 지수,,한국콜마 5.95%|파마리서치 5.11%|코스맥스 4.94%|아모레퍼시픽 4.81%|LG생활건강 4.63%|롯데웰푸드 4.56%|미스토홀딩스 4.56%|클래시스 4.49%|CJ제일제당 4.36%|빙그레 4.35%,region.china|asset.equity|strategy.passive_index,중국|주식|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
124,364960,TIGER BBIG,C,53,low_confidence,"저신뢰 분류 3건: 전기차/2차전지, 의료/제약/바이오, 게임/엔터/미디어",,KRX BBIG 지수,,NC 10.89%|삼성SDI 10.67%|크래프톤 9.85%|알테오젠 8.6%|LG에너지솔루션 8.5%|셀트리온 8.49%|POSCO홀딩스 8.47%|삼성바이오로직스 8.15%|NAVER 8.03%|넷마블 6.81%,sector.ev_battery|sector.healthcare_bio_pharma|sector.game_entertainment_media|asset.equity|region.domestic_kr|strategy.passive_index,전기차/2차전지|의료/제약/바이오|게임/엔터/미디어|주식|국내|지수추종(패시브),sector.ev_battery|sector.healthcare_bio_pharma|sector.game_entertainment_media,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
125,0192T0,SOL 코스닥TOP10,C,48,low_confidence,"저신뢰 분류 3건: 의료/제약/바이오, 전기차/2차전지, 반도체",,코스닥 TOP 10 지수,,알테오젠 24.59%|에코프로 16.78%|에코프로비엠 13.21%|원익IPS 8.44%|리노공업 7.35%|에이비엘바이오 6.73%|레인보우로보틱스 6.65%|이오테크닉스 6.18%|HLB 6.17%|우리기술 3.46%,sector.healthcare_bio_pharma|sector.ev_battery|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,의료/제약/바이오|전기차/2차전지|반도체|주식|국내|지수추종(패시브),sector.healthcare_bio_pharma|sector.ev_battery|sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
126,213610,KODEX 삼성그룹밸류,C,53,low_confidence,"저신뢰 분류 2건: 가치주, 그룹주(계열사 집중)",,WISE 삼성그룹 밸류 인덱스,,삼성전자 23.51%|삼성물산 8.15%|삼성생명 7.69%|삼성E&A 7.13%|삼성증권 5.81%|삼성바이오로직스 5.59%|삼성전기 5.56%|삼성화재 5.13%|삼성SDI 5.07%|에스원 4.68%,strategy.value|asset.equity|region.domestic_kr|strategy.passive_index|strategy.large_conglomerate_group,가치주|주식|국내|지수추종(패시브)|그룹주(계열사 집중),strategy.value|strategy.large_conglomerate_group,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
127,368190,HANARO Fn K-뉴딜디지털플러스,C,53,low_confidence,"저신뢰 분류 2건: 의료/제약/바이오, 전기차/2차전지",,FnGuide K-뉴딜 디지털 플러스 지수,,셀트리온 11.61%|삼성바이오로직스 9.97%|삼성SDI 9.76%|POSCO홀딩스 9.45%|LG에너지솔루션 9.36%|NAVER 9.22%|알테오젠 8.41%|LG화학 7.56%|카카오 6.96%|크래프톤 4.04%,sector.healthcare_bio_pharma|sector.ev_battery|asset.equity|region.domestic_kr|strategy.passive_index,의료/제약/바이오|전기차/2차전지|주식|국내|지수추종(패시브),sector.healthcare_bio_pharma|sector.ev_battery,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
128,368680,KODEX K-뉴딜디지털플러스,C,53,low_confidence,"저신뢰 분류 2건: 의료/제약/바이오, 전기차/2차전지",,FnGuide K-뉴딜 디지털 플러스 지수,,셀트리온 11.66%|삼성바이오로직스 10.08%|삼성SDI 9.74%|POSCO홀딩스 9.54%|LG에너지솔루션 9.46%|NAVER 9.3%|알테오젠 8.47%|LG화학 7.57%|카카오 7.01%|크래프톤 4.04%,sector.healthcare_bio_pharma|sector.ev_battery|asset.equity|region.domestic_kr|strategy.passive_index,의료/제약/바이오|전기차/2차전지|주식|국내|지수추종(패시브),sector.healthcare_bio_pharma|sector.ev_battery,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
129,381570,HANARO Fn친환경에너지,C,53,low_confidence,"저신뢰 분류 2건: 클린에너지, 전기차/2차전지",,FnGuide 친환경에너지 지수 (시장가격),,한화솔루션 11%|삼성SDI 10.59%|POSCO홀딩스 10.4%|LG에너지솔루션 10.4%|OCI홀딩스 8.81%|한화 7.95%|포스코인터내셔널 7.64%|서진시스템 5.94%|두산퓨얼셀 5.91%|솔브레인 4.3%,sector.clean_energy|sector.ev_battery|asset.equity|region.domestic_kr|strategy.passive_index,클린에너지|전기차/2차전지|주식|국내|지수추종(패시브),sector.clean_energy|sector.ev_battery,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
130,469790,KIWOOM 코리아테크TOP10,C,53,low_confidence,"저신뢰 분류 2건: 반도체, 테크/기술",,Solactive K-TechTOP10 Index(PR),,삼성전자 27.09%|SK하이닉스 26.7%|삼성전기 12.27%|크래프톤 6.24%|카카오 5.59%|NAVER 5.42%|한미반도체 4.92%|삼성에스디에스 4.29%|LG전자 4.28%|LG이노텍 3.05%,sector.semiconductor|sector.tech_general|asset.equity|region.domestic_kr|strategy.passive_index,반도체|테크/기술|주식|국내|지수추종(패시브),sector.semiconductor|sector.tech_general,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
131,0152E0,SOL 배당성향탑픽액티브,C,52,low_confidence,"저신뢰 분류 2건: 한국 고배당, 금융",,FnGuide 배당성향탑픽 지수(PR),,삼성화재 11.31%|우리금융지주 8.82%|DB손해보험 8.7%|BNK금융지주 7.66%|NH투자증권 7.49%|삼성증권 7.49%|케이카 6.48%|제일기획 5.41%|코리안리 5.17%|오리온홀딩스 4.24%,dividend.korea_high_dividend|sector.financials|strategy.active|asset.equity|region.domestic_kr,한국 고배당|금융|액티브|주식|국내,dividend.korea_high_dividend|sector.financials,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
132,102960,KODEX 기계장비,C,53,low_confidence,저신뢰 분류 1건: 조선/조선기자재,,KRX 기계장비,,두산에너빌리티 13.79%|HD현대일렉트릭 7.75%|LG에너지솔루션 7.09%|HD현대중공업 7.01%|HD한국조선해양 6.98%|삼성중공업 6.39%|LS ELECTRIC 6.28%|현대로템 5.47%|효성중공업 5.04%|한화오션 4.56%,asset.equity|region.domestic_kr|strategy.passive_index|sector.shipbuilding,주식|국내|지수추종(패시브)|조선/조선기자재,sector.shipbuilding,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
133,104530,KIWOOM 코리아고배당,C,53,low_confidence,저신뢰 분류 1건: 한국 고배당,,MKF 웰스 고배당20,,케이카 9.18%|현대엘리베이터 8.97%|한국쉘석유 6.55%|제일기획 6.04%|메가스터디교육 6.04%|한일시멘트 5.6%|서울보증보험 5.47%|삼성카드 5.39%|DB손해보험 5.31%|이노션 4.93%,dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index,한국 고배당|주식|국내|지수추종(패시브),dividend.korea_high_dividend,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
134,117460,KODEX 에너지화학,C,53,low_confidence,저신뢰 분류 1건: 에너지/화학,,KRX 에너지화학,,LG화학 16.64%|HD현대 14.01%|SK이노베이션 12.88%|S-Oil 9.14%|한화솔루션 6.79%|OCI홀딩스 4.26%|한솔케미칼 4.05%|SKC 3.57%|KCC 2.74%|금호석유화학 2.69%,asset.equity|region.domestic_kr|strategy.passive_index|sector.energy_chemicals,주식|국내|지수추종(패시브)|에너지/화학,sector.energy_chemicals,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
135,145850,TREX 펀더멘탈 200,C,53,low_confidence,저신뢰 분류 1건: 가치주,,FnGuide-RAFI 코리아200 지수,,삼성전자 19.71%|SK하이닉스 4.71%|KB금융 4.07%|하나금융지주 3.57%|신한지주 3.45%|현대차 3.38%|기아 3.21%|우리금융지주 2.56%|POSCO홀딩스 2.39%|SK 1.64%,strategy.value|asset.equity|region.domestic_kr|strategy.passive_index,가치주|주식|국내|지수추종(패시브),strategy.value,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
136,192720,파워 고배당저변동성,C,53,low_confidence,저신뢰 분류 1건: 저변동성(로우볼),,코스피 200 고배당지수,,DB손해보험 3.37%|미스토홀딩스 3.14%|삼성카드 3.1%|기업은행 3.08%|JB금융지주 2.98%|제일기획 2.97%|강원랜드 2.87%|BNK금융지주 2.8%|LG유플러스 2.78%|우리금융지주 2.77%,dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index|strategy.low_volatility,한국 고배당|주식|국내|지수추종(패시브)|저변동성(로우볼),strategy.low_volatility,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
137,227550,TIGER 200 산업재,C,53,low_confidence,저신뢰 분류 1건: 우주항공/방산,,코스피 200 산업재,,한화에어로스페이스 17.4%|LG에너지솔루션 12.8%|LS ELECTRIC 11.43%|한국항공우주 8%|LIG디펜스앤에어로스페이스 7.7%|현대글로비스 5.49%|대한항공 5.21%|HMM 4.82%|포스코퓨처엠 4.27%|LS 4.03%,sector.aerospace_defense|asset.equity|region.domestic_kr|strategy.passive_index,우주항공/방산|주식|국내|지수추종(패시브),sector.aerospace_defense,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
138,234310,RISE V&S셀렉트밸류,C,53,low_confidence,저신뢰 분류 1건: 가치주,,FnGuide 셀렉트 밸류 지수,,삼성전자 28.45%|메리츠금융지주 11.82%|현대모비스 4.34%|신한지주 3.76%|LG 3.14%|삼성SDI 3.06%|현대차2우B 2.25%|POSCO홀딩스 2.04%|BNK금융지주 1.92%|티앤엘 1.9%,strategy.value|asset.equity|region.domestic_kr|strategy.passive_index,가치주|주식|국내|지수추종(패시브),strategy.value,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
139,237350,KODEX 코스피100,C,53,low_confidence,저신뢰 분류 1건: 반도체,,코스피 100,,SK하이닉스 30.95%|삼성전자 30.13%|SK스퀘어 3.23%|삼성전기 2.16%|현대차 1.84%|KB금융 1.72%|신한지주 1.36%|기아 1.06%|삼성물산 1.05%|하나금융지주 1%,sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,반도체|주식|국내|지수추종(패시브),sector.semiconductor,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
140,266160,RISE 고배당,C,53,low_confidence,저신뢰 분류 1건: 한국 고배당,,FnGuide 고배당포커스 지수,,SK하이닉스 26.3%|삼성전자 24.43%|기아 7.1%|KB금융 4.74%|신한지주 3.57%|현대차 3.22%|하나금융지주 3.13%|우리금융지주 2.5%|삼성화재 2.24%|기업은행 2.12%,dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index,한국 고배당|주식|국내|지수추종(패시브),dividend.korea_high_dividend,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
141,266550,PLUS 중형주저변동50,C,53,low_confidence,저신뢰 분류 1건: 저변동성(로우볼),,FnGuide 중형주저변동50지수,,iM금융지주 3.1%|한국콜마 3.03%|오리온 2.99%|CJ제일제당 2.96%|강원랜드 2.95%|제일기획 2.87%|코리안리 2.84%|JB금융지주 2.68%|이노션 2.66%|에스원 2.65%,asset.equity|region.domestic_kr|strategy.passive_index|strategy.low_volatility,주식|국내|지수추종(패시브)|저변동성(로우볼),strategy.low_volatility,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
142,275290,KODEX 가치주,C,53,low_confidence,저신뢰 분류 1건: 가치주,,MSCI Korea IMI Enhanced Value Capped,,SK하이닉스 22%|삼성전자 19.45%|SK스퀘어 12.18%|기아 4.36%|BNK금융지주 3.52%|삼성전자우 3.33%|SK 2.28%|iM금융지주 2.14%|HMM 1.72%|현대해상 1.64%,strategy.value|asset.equity|region.domestic_kr|strategy.passive_index,가치주|주식|국내|지수추종(패시브),strategy.value,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
143,279540,KODEX 최소변동성,C,53,low_confidence,저신뢰 분류 1건: 저변동성(로우볼),,KRX 최소변동성지수,,삼성전자 12.5%|SK하이닉스 9.95%|삼성전기 7.14%|삼성SDI 6.06%|LG이노텍 3.82%|S-Oil 3.04%|BNK금융지주 2.58%|한국항공우주 2.54%|메리츠금융지주 2.44%|유한양행 2.34%,asset.equity|region.domestic_kr|strategy.passive_index|strategy.low_volatility,주식|국내|지수추종(패시브)|저변동성(로우볼),strategy.low_volatility,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
144,315960,RISE 대형고배당10TR,C,53,low_confidence,저신뢰 분류 1건: 한국 고배당,,WISE 대형고배당10 TR 지수,,SK하이닉스 27.13%|삼성전자 25.14%|현대차 10.41%|KB금융 7.95%|삼성생명 7.47%|기아 6.41%|신한지주 5.9%|하나금융지주 4.17%|POSCO홀딩스 2.79%|우리금융지주 2.62%,dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index,한국 고배당|주식|국내|지수추종(패시브),dividend.korea_high_dividend,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
145,325020,KODEX 배당가치,C,53,low_confidence,저신뢰 분류 1건: 가치주,,FnGuide SLV 배당가치 지수,,삼성전자 17.66%|KB금융 8.92%|신한지주 6.35%|기아 5.48%|하나금융지주 5%|셀트리온 4.08%|우리금융지주 3.22%|POSCO홀딩스 3.12%|SK 3.06%|삼성화재 2.96%,dividend.korea_high_dividend|strategy.value|asset.equity|region.domestic_kr|strategy.passive_index,한국 고배당|가치주|주식|국내|지수추종(패시브),strategy.value,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
146,367740,HANARO Fn5G산업,C,53,low_confidence,저신뢰 분류 1건: 반도체,,FnGuide 5G 산업 지수,,KT 9.39%|SK텔레콤 8.65%|삼성SDI 8.47%|삼성전자 8.04%|한미반도체 7.88%|삼성전기 6.88%|이수페타시스 6.83%|SK하이닉스 6.42%|삼성에스디에스 6.33%|원익IPS 5.03%,sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,반도체|주식|국내|지수추종(패시브),sector.semiconductor,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
147,367770,RISE 수소경제테마,C,53,low_confidence,저신뢰 분류 1건: 클린에너지,,FnGuide 수소 경제 테마 지수,,한화에어로스페이스 16.41%|현대모비스 14.8%|두산에너빌리티 14.8%|현대차 13.31%|POSCO홀딩스 10.17%|LS ELECTRIC 7.4%|효성중공업 7.13%|두산 4.45%|포스코퓨처엠 2.56%|한화솔루션 2.22%,sector.clean_energy|asset.equity|region.domestic_kr|strategy.passive_index,클린에너지|주식|국내|지수추종(패시브),sector.clean_energy,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
148,375760,HANARO 탄소효율그린뉴딜,C,53,low_confidence,저신뢰 분류 1건: ESG/탄소효율,,KRX/S&P 탄소효율 그린뉴딜지수,,삼성전자 27.76%|SK하이닉스 21.96%|SK스퀘어 3.45%|KB금융 1.79%|현대차 1.78%|신한지주 1.64%|두산에너빌리티 1.49%|하나금융지주 1.24%|한화에어로스페이스 1.2%|기아 1.2%,asset.equity|region.domestic_kr|strategy.passive_index|strategy.esg_screening,주식|국내|지수추종(패시브)|ESG/탄소효율,strategy.esg_screening,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
149,375770,KODEX 탄소효율그린뉴딜,C,53,low_confidence,저신뢰 분류 1건: ESG/탄소효율,,KRX/S&P 탄소효율 그린뉴딜지수,,삼성전자 27.27%|SK하이닉스 21.58%|SK스퀘어 3.41%|KB금융 1.76%|현대차 1.76%|신한지주 1.61%|두산에너빌리티 1.46%|하나금융지주 1.25%|한화에어로스페이스 1.18%|기아 1.18%,asset.equity|region.domestic_kr|strategy.passive_index|strategy.esg_screening,주식|국내|지수추종(패시브)|ESG/탄소효율,strategy.esg_screening,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
150,376410,TIGER 탄소효율그린뉴딜,C,53,low_confidence,저신뢰 분류 1건: ESG/탄소효율,,KRX/S&P 탄소효율 그린뉴딜지수,,삼성전자 27%|SK하이닉스 21.36%|SK스퀘어 3.35%|KB금융 1.75%|현대차 1.74%|신한지주 1.59%|두산에너빌리티 1.45%|하나금융지주 1.25%|기아 1.16%|한화에어로스페이스 1.16%,asset.equity|region.domestic_kr|strategy.passive_index|strategy.esg_screening,주식|국내|지수추종(패시브)|ESG/탄소효율,strategy.esg_screening,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
151,380340,ACE 코리아AI테크핵심산업,C,53,low_confidence,저신뢰 분류 1건: IT,,FnGuide 코리아AI테크핵심산업지수 (Price Return),,NAVER 22.16%|삼성전기 18.85%|LG이노텍 13.73%|삼성에스디에스 10.28%|SK하이닉스 8.02%|삼성전자 7.74%|대덕전자 5.02%|LG씨엔에스 4.42%|현대오토에버 3.79%|대한광통신 2.05%,sector.semiconductor|sector.it|asset.equity|region.domestic_kr|strategy.passive_index,반도체|IT|주식|국내|지수추종(패시브),sector.it,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
152,401170,RISE 메타버스,C,53,low_confidence,저신뢰 분류 1건: 게임/엔터/미디어,,iSelect 메타버스 지수(시장가격지수),,크래프톤 11.89%|NC 11.28%|하이브 11.2%|카카오 10.51%|NAVER 9.48%|LG디스플레이 9.1%|삼성전기 7.91%|LG이노텍 6.66%|JYP Ent. 4.29%|펄어비스 4.14%,sector.game_entertainment_media|asset.equity|region.domestic_kr|strategy.passive_index,게임/엔터/미디어|주식|국내|지수추종(패시브),sector.game_entertainment_media,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
153,404260,KODEX 기후변화솔루션,C,53,low_confidence,저신뢰 분류 1건: 클린에너지,,KRX 기후변화 솔루션지수,,씨에스윈드 9.17%|한화솔루션 8.2%|삼성SDI 7.93%|SK하이닉스 7.85%|삼성전자 7.64%|한화 7.05%|현대차 6.69%|포스코DX 6.21%|두산퓨얼셀 5.71%|SK오션플랜트 5.27%,sector.clean_energy|asset.equity|region.domestic_kr|strategy.passive_index,클린에너지|주식|국내|지수추종(패시브),sector.clean_energy,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
154,404540,TIGER KRX기후변화솔루션,C,53,low_confidence,저신뢰 분류 1건: 클린에너지,,KRX 기후변화 솔루션지수,,씨에스윈드 9.19%|한화솔루션 8.05%|삼성SDI 7.96%|SK하이닉스 7.95%|삼성전자 7.67%|한화 7.07%|현대차 6.69%|포스코DX 6.23%|두산퓨얼셀 5.72%|SK오션플랜트 5.28%,sector.clean_energy|asset.equity|region.domestic_kr|strategy.passive_index,클린에너지|주식|국내|지수추종(패시브),sector.clean_energy,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
